JLL,google.com/url?q=https://jll.wd1.myworkdayjobs.com/en-GB/jllcareers?locationCountry%3Dc4f78be1a8f14da0ab49ce1162348a5e&source=gmail&ust=1768368690364000&usg=AOvVaw0nLkd3piPITRCNiGSTjFdC
Accenture,https://www.accenture.com/in-en/careers/jobsearch?ct=Ahmedabad%7CBengaluru%7CBhubaneswar%7CChennai%7CCoimbatore%7CGandhinagar%7CGurugram%7CHyderabad%7CIndore%7CJaipur%7CKochi%7CKolkata%7CMumbai%7CNagpur%7CNavi%20Mumbai%7CNew%20Delhi%7CNoida%7CPune%7CThiruvananthapuram
Amazon,https://www.amazon.jobs/en/search?base_query=&loc_query=India&type=area&longitude=77.21676&latitude=28.63141&country=IND
Amazon Web Services,https://www.amazon.jobs/en/search?offset=0&result_limit=10&sort=relevant&business_category%5B%5D=amazon-web-services&distanceType=Mi&radius=24km&latitude=&longitude=&loc_group_id=&loc_query=India&base_query=&city=&country=IND&region=&county=&query_options=&
Bain & Company,"https://www.bain.com/careers/find-a-role/?filters=offices(275,276,274)|"
Boston Consulting Group,https://careers.bcg.com/global/en/search-results?rk=page-targeted-jobs-page54-prod-ds-Nusa6pGk&sortBy=Most%20relevant
Deloitte,https://usijobs.deloitte.com/en_US/careersusi
EY,"https://eyglobal.yello.co/job_boards/c1riT--B2O-KySgYWsZO1Q?locale=en
https://careers.ey.com/ey/search/?createNewAlert=false&q=&optionsFacetsDD_customfield1=Strategy+and+Transactions&optionsFacetsDD_country=IN&optionsFacetsDD_city=
https://careers.ey.com/ey/search/?createNewAlert=false&q=&optionsFacetsDD_customfield1=&optionsFacetsDD_country=IN&optionsFacetsDD_city="
Flipkart,https://www.flipkartcareers.com/flipkart/jobslist
KPMG,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?mode=location
McKinsey & Company,https://www.mckinsey.com/careers/search-jobs?countries=India
Meesho,https://www.meesho.io/jobs
Myntra,https://jobs.myntra.com/home
Parle Agro,https://paplconnectplus.darwinbox.in/ms/candidatev2/main/careers/allJobs
PricewaterhouseCoopers (PwC),"https://www.pwc.in/careers/experienced-jobs/results.html?wdcountry=IND|BGD&wdjobsite=Global_Experienced_Careers&flds=jobreqid,title,location,jobsite,iso"
Procter & Gamble,https://www.pgcareers.com/in/en/search-results?m=3
Tata Administrative Services,https://www.tata.com/careers/jobs/joblisting
Zepto,https://zepto.talentrecruit.com/career-page
Zoho Corporation,https://www.zoho.com/careers/#jobs
Aditya Birla Group,https://careers.adityabirla.com/job-search
Adobe Inc.,https://careers.adobe.com/us/en/search-results?qcountry=India
Apple Inc.,https://jobs.apple.com/en-in/search?location=india-INDC&page=2
Citigroup,https://jobs.citi.com/location/india-jobs/287/1269750/2
Cognizant,https://careers.cognizant.com/india-en/jobs/?keyword=&location=India&lat=&lng=&cname=India&ccode=IN&origin=global
Colgate-Palmolive,https://jobs.colgate.com/go/View-All-Jobs/8506400/?markerViewed=&carouselIndex=&facetFilters=%7B%22filter1%22%3A%5B%22India%22%5D%7D&pageNumber=0
Godrej Group,https://godrejcareers.peoplestrong.com/job/joblist
Google,https://www.google.com/about/careers/applications/jobs/results?location=India
HCLTech,https://careers.hcltech.com/go/NonTPDemand/9558355/
ITC Limited,https://recruitment.itcportal.com/jobs/Careers#summer-internship
JPMorgan Chase,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?location=India&locationId=300000000289360&locationLevel=country&mode=location
Larsen & Toubro,https://larsentoubrocareers.peoplestrong.com/job/joblist
Mondelez International,https://www.mondelezinternational.com/careers/jobs/?term&countrycode=IN
Reckitt,https://careers.reckitt.com/search/?createNewAlert=false&q=&locationsearch=India&optionsFacetsDD_facility=&optionsFacetsDD_country=
Jio,https://careers.jio.com/frmJobCategories.aspx?func=w+cpdiT6wL4=&loc=/wASbQn4xyQ=&expreq=/wASbQn4xyQ=&flag=/wASbQn4xyQ=&poston=6JCGsKeGvVZx6Lxy4pI54VzntXOmB1aj
The Coca-Cola Company,https://careers.coca-colacompany.com/?store_id=India
Axis Bank,https://axisbank.ripplehire.com/candidate/?token=WIXhCuz0XRZ7H0GZCwjJ&source=CAREERSITE#list
Bank of America,https://careers.bankofamerica.com/en-us/job-search/india?ref=search&start=0&rows=10&search=jobsByLocation&searchstring=India
Capgemini,https://www.capgemini.com/in-en/careers/join-capgemini/job-search/?page=1&size=11&country_code=in-en
Goldman Sachs,https://higher.gs.com/results?LOCATION=Bengaluru|Hyderabad|Mumbai&page=1&sort=RELEVANCE
HDFC Bank,https://www.linkedin.com/jobs/search/?currentJobId=4351653282&f_C=164151&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4351653282%2C4351643256%2C4351703347%2C4351203296%2C4345895168%2C4350933638%2C4352539361%2C4351199103%2C4353042756
Hindustan Unilever Limited,https://careers.unilever.com/en/search-jobs
HSBC,https://portal.careers.hsbc.com/careers?location=India
IBM,https://www.ibm.com/in-en/careers/search?field_keyword_05[0]=India
ICICI Bank,https://www.linkedin.com/jobs/search/?currentJobId=4344909707&f_C=2967&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4344909707%2C4344687209%2C4358932424%2C4344909715%2C4344510067%2C4344776459%2C4344450623%2C4338202809%2C4344341030
Infosys,https://career.infosys.com/jobs?companyhiringtype=IL&countrycode=IN
L'Oréal,https://careers.loreal.com/en_US/jobs/SearchJobs/?3_110_3=18031
Mahindra & Mahindra,https://jobs.mahindracareers.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_shifttype=&optionsFacetsDD_facility=&optionsFacetsDD_customfield1=
Marico,https://marico.sensehq.com/careers
Meta,https://www.metacareers.com/jobsearch?offices[0]=Mumbai%2C%20India&offices[1]=Gurgaon%2C%20India&offices[2]=Bangalore%2C%20India&offices[3]=Hyderabad%2C%20India&offices[4]=New%20Delhi%2C%20India
Microsoft,https://apply.careers.microsoft.com/careers?location=India&hl=en
Morgan Stanley,https://morganstanley.eightfold.ai/careers?source=mscom&start=0&pid=549795398771&sort_by=timestamp&filter_city=Mumbai%2CBengaluru
Nestlé,https://www.nestle.in/jobs/search-jobs?keyword=&country=IN
Nvidia,https://nvidia.eightfold.ai/careers?start=0&location=India&pid=893392494148&sort_by=distance&filter_include_remote=0
Samsung,https://sec.wd3.myworkdayjobs.com/Samsung_Careers?locations=0c974e8c1228010867596ab21b3c3469&locations=189767dd6c9201004b83aa89a5295a80
State Bank of India,https://sbi.bank.in/web/careers/current-openings
Swiggy,https://careers.swiggy.com/#/careers?src=careers
Tata Consultancy Services,https://ibegin.tcsapps.com/candidate/jobs/search
Tata Consumer Products,https://careers.tataconsumer.com/search/?createNewAlert=false&q=&locationsearch=India&optionsFacetsDD_title=
Tech Mahindra,https://careers.techmahindra.com/Currentopportunity.aspx#Advance
Tesla,https://hire-r1.mokahr.com/social-recruitment/tesla/100004142#/jobs?page=1&anchorName=jobsList
Varun Beverages,https://rjcorphcm-iacbiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?location=India&locationId=300000000489931&locationLevel=country&mode=location
Walmart,https://www.linkedin.com/jobs/search/?currentJobId=4331584754&f_C=9390173&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4331584754%2C4350824998%2C4351943096%2C4313350910%2C4352509573%2C4347323413%2C4340033998%2C4255737177%2C4346223869
Wipro,https://careers.wipro.com/search/?q=&locationsearch=India&searchResultView=LIST
PepsiCo,https://www.pepsicojobs.com/main/jobs?stretchUnit=MILES&stretch=10&location=India&woe=12&regionCode=IN
BookMyShow,https://bookmyshow.hire.trakstar.com/
Abbott Laboratories,https://www.jobs.abbott/us/en/search-results?qcountry=India&utm_source=abbott.in&utm_campaign=.com-CTAs&utm_content=careers&utm_medium=website&lnkid=20595
AbbVie,https://careers.abbvie.com/en/jobs?q=&options=&page=1&ln=India&lr=100&li=IN
Adani Group,https://www.adani.com/opportunity/#en/sites/CX_1/jobs
American Express,https://aexp.eightfold.ai/careers?location=India&pid=39603074&domain=aexp.com&sort_by=relevance&hl=en&triggerGoButton=false
Angel One,https://www.angelone.in/careers
Asian Paints,https://careers.asianpaints.com/search/?createNewAlert=false&q=&locationsearch=India
AT&T,https://www.att.jobs/location/india-jobs/117/1269750/2
Bajaj Auto,https://www.bajajauto.com/careers/search-result
Boeing,https://jobs.boeing.com/location/india-country-jobs/185/1269750/2
Cipla,https://careers.cipla.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_location=&optionsFacetsDD_dept=&optionsFacetsDD_country=
Cummins,https://cummins.jobs/jobs/?location=India
Cyient,https://careers.cyient.com/cyient/
Dell Technologies,https://jobs.dell.com/en/location/india-jobs/375/1269750/2
Dr. Reddy's Laboratories,https://careers.drreddys.com/jobs?options=3877&page=1
Royal Enfield,https://careers.royalenfield.com/us/en
Eli Lilly and Company,https://careers.lilly.com/us/en/india
ExxonMobil,https://jobs.exxonmobil.com/search/?createNewAlert=false&q=&locationsearch=India&optionsFacetsDD_department=&optionsFacetsDD_shifttype=&optionsFacetsDD_country=
FedEx,https://careers.fedex.com/jobs?location_name=India&location_type=4
Fortis Healthcare,https://fa-ermg-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?location=India&locationId=300000000433119&locationLevel=country&mode=location
Hero FinCorp,https://www.herofincorp.com/career#explore_job_section
Hero MotoCorp,https://jobs.heromotocorp.com/search/?createNewAlert=false&q=&optionsFacetsDD_department=&locationsearch=
Hindalco Industries,https://careers.adityabirla.com/job-search
Honeywell,https://careers.honeywell.com/en/sites/Honeywell/jobs?location=India&locationId=300000000469485&locationLevel=country&mode=location
HP Inc.,https://apply.hp.com/careers?start=0&location=India&pid=39061145&sort_by=distance&filter_include_remote=1
India Infoline (IIFL),https://iifl.darwinbox.in/ms/candidatev2/main/careers/allJobs
Intel,https://intel.wd1.myworkdayjobs.com/External?locations=1e4a4eb3adf101ab560f6577bf81eacf&locations=1e4a4eb3adf1015ff0865f77bf81e5cf&locations=1e4a4eb3adf101fec7c50d79bf814fd1&locations=1e4a4eb3adf101f44070f976bf8184cf
Johnson & Johnson,https://www.careers.jnj.com/en/jobs/?orderby=0&pagesize=20&page=1&radius=100&country=India
JSW Energy,https://jswgroup.turbohire.co/dashboardv2?orgId=9b510aa7-a9f2-46a7-aeb7-8853d81bcf10&type=0
Jubilant FoodWorks,https://fa-exph-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jubilant/jobs?location=India&locationId=300000000465349&locationLevel=country&mode=location
Kotak Mahindra Bank,https://hcbt.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs?mode=location
KPIT Technologies,https://www.kpit.com/job-listing/?country=India&location=&exp=
Lowe's,https://talent.lowes.com/in/en/search-results?keywords=India
Maruti Suzuki,https://maruti.app.param.ai/jobs/
Max Life Insurance,https://career.axismaxlife.com/axismaxlife/
MetLife,https://www.metlifecareers.com/en_US/ml/SearchJobs/?12310=%5B116642%5D&12310_format=9873&listFilterMode=1&jobRecordsPerPage=6&
Muthoot Finance,https://career.muthootfinance.com/Pages/CareerPortal/frmApplicantJobSearch.aspx?d37c3bb0038bd55ea687d5e911208273
Netflix,https://explore.jobs.netflix.net/careers?location=India&pid=790313595051&Region=apac&domain=netflix.com&sort_by=relevance&triggerGoButton=false&triggerGoButton=true
Nike,https://careers.nike.com/jobs?location_name=India&location_type=4
Paytm,https://paytm.ripplehire.com/candidate/?token=Jrn4GUz6HCYtOdlkVCzo&lang=en&source=CAREERSITE#list/acc=Paytm
Oracle Corporation,https://careers.oracle.com/en/sites/jobsearch/jobs?location=India&locationId=300000000106947
Persistent Systems,https://careers.persistent.com/explore-opportunities
Pfizer,https://www.pfizer.co.in/careers/search-results?langcode=en&region[0]=India&count=10&sort=latest
Piramal Group,https://hcwf.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1005/jobs?location=India&locationId=300000000345142&locationLevel=country&mode=location
Qualcomm,https://careers.qualcomm.com/careers?location=India&pid=446716281429&domain=qualcomm.com&sort_by=relevance&triggerGoButton=false&triggerGoButton=true
Salesforce,https://careers.salesforce.com/en/jobs/?search=&country=India&pagesize=20#results
Shoppers Stop,https://shopperstop.preprod1.openings.co/#!/joblist
Starbucks,https://careers.starbucks.in/search/?createNewAlert=false&q=&locationsearch=India
Sun Pharma,https://careers.sunpharma.com/search/?createNewAlert=false&q=&locationsearch=India&optionsFacetsDD_customfield2=
Target Corporation,https://indiajobs.target.com/search-jobs?k=india&fl=1269750
Tata Advanced Systems,https://chroma.tcsapps.com/webhcm/tslt/careers
Tata Communications,https://jobs.tatacommunications.com/home
Tata Motors,https://careers.tatamotors.com/search/?createNewAlert=false&q=
Tata Steel,https://tatasteel.ripplehire.com/candidate/?token=kYAz91uy1lFDi6FeSiRZ&lang=en&source=CAREERSITE#list
Titan Company,https://careers.titan.in/in/en/search-results
